
GSE5847.tsv 	ROS 	RandomForest 	0.7857142857142856 	0.7857 	0.7857 	0.7857 	0.7857
GSE5847.tsv 	ROS 	Gradient Boosting 	0.7857142857142856 	0.7857 	0.7857 	0.7857 	0.7857
GSE5847.tsv 	ROS 	LogisticRegression 	0.8214285714285714 	0.8214 	0.8462 	0.7857 	0.8148
GSE5847.tsv 	SMOTE 	RandomForest 	0.7142857142857142 	0.7143 	0.7500 	0.6429 	0.6923
GSE5847.tsv 	SMOTE 	Gradient Boosting 	0.7857142857142856 	0.7857 	0.7857 	0.7857 	0.7857
GSE5847.tsv 	SMOTE 	LogisticRegression 	0.8571428571428571 	0.8571 	0.9167 	0.7857 	0.8462
GSE5847.tsv 	RUS 	RandomForest 	0.75 	0.7500 	0.7333 	0.7857 	0.7586
GSE5847.tsv 	RUS 	Gradient Boosting 	0.7142857142857142 	0.7143 	0.6875 	0.7857 	0.7333
GSE5847.tsv 	RUS 	LogisticRegression 	0.7857142857142856 	0.7857 	0.7857 	0.7857 	0.7857
GSE5847.tsv 	ENN 	RandomForest 	0.7857142857142858 	0.7857 	0.7500 	0.8571 	0.8000
GSE5847.tsv 	ENN 	Gradient Boosting 	0.6785714285714285 	0.6786 	0.6471 	0.7857 	0.7097
GSE5847.tsv 	ENN 	LogisticRegression 	0.8214285714285714 	0.8214 	0.8000 	0.8571 	0.8276
GSE5847.tsv 	RENN 	RandomForest 	0.7857142857142858 	0.7857 	0.7500 	0.8571 	0.8000
GSE5847.tsv 	RENN 	Gradient Boosting 	0.6785714285714285 	0.6786 	0.6471 	0.7857 	0.7097
GSE5847.tsv 	RENN 	LogisticRegression 	0.8214285714285714 	0.8214 	0.8000 	0.8571 	0.8276
GSE5847.tsv 	ALL 	RandomForest 	0.75 	0.7500 	0.7059 	0.8571 	0.7742
GSE5847.tsv 	ALL 	Gradient Boosting 	0.6785714285714285 	0.6786 	0.6471 	0.7857 	0.7097
GSE5847.tsv 	ALL 	LogisticRegression 	0.7857142857142858 	0.7857 	0.7500 	0.8571 	0.8000
GSE5847.tsv 	SMOTENN 	RandomForest 	0.6785714285714286 	0.6786 	0.6316 	0.8571 	0.7273
GSE5847.tsv 	SMOTENN 	Gradient Boosting 	0.7857142857142857 	0.7857 	0.7222 	0.9286 	0.8125
GSE5847.tsv 	SMOTENN 	LogisticRegression 	0.75 	0.7500 	0.7333 	0.7857 	0.7586
GSE5847.tsv 	EEC 	RandomForest 	0.8214285714285714 	0.8214 	0.8000 	0.8571 	0.8276
GSE5847.tsv 	EEC 	Gradient Boosting 	0.8214285714285714 	0.8214 	0.8000 	0.8571 	0.8276
GSE5847.tsv 	EEC 	LogisticRegression 	0.8214285714285714 	0.8214 	0.8000 	0.8571 	0.8276
